-,-,-
-148.681641, -201.904297, 1008.789062
-109.619141, -194.580078, 960.937500
-107.177734, -180.419922, 991.210938
-138.427734, -116.943359, 1000.976562
-122.802734, -158.935547, 1157.226562
-204.833984, -152.099609, 1154.296875
-149.169922, -129.638672, 1125.000000
-130.615234, -129.638672, 1115.234375
-120.849609, -161.865234, 1222.656250
-125.244141, -149.169922, 1179.687500
-130.615234, -185.302734, 1130.371094
-117.431641, -169.189453, 1020.507812
-164.306641, -119.384766, 1009.277344
-110.107422, -149.169922, 946.289062
-,-,-
5.371094, 41.992188, 894.531250
-11.474609, 39.062500, 1006.347656
-7.080078, 50.781250, 948.242188
-45.166016, 8.789062, 984.375000
-21.240234, 21.972656, 961.914062
-31.005859, 16.601562, 934.570312
-14.892578, 14.648438, 892.578125
-19.775391, 18.066406, 860.351562
-20.263672, -0.732422, 917.968750
8.789062, 31.250000, 936.523438
-2.685547, 32.226562, 946.289062
31.250000, 9.765625, 985.351562
13.671875, -32.958984, 1047.851562
48.339844, -21.240234, 1053.710938
58.593750, -49.072266, 961.914062
38.574219, -5.615234, 939.453125
57.617188, -58.349609, 985.351562
15.625000, -30.029297, 1035.156250
7.812500, -75.927734, 993.164062
24.414062, -37.841797, 951.171875
-19.287109, -23.681641, 969.726562
81.054688, -91.064453, 990.234375
95.214844, -62.255859, 930.664062
83.496094, -75.927734, 995.117188
76.171875, -81.787109, 983.398438
36.132812, -98.876953, 1002.929688
44.433594, -85.693359, 1065.429688
33.691406, -101.318359, 1049.804688
30.761719, -71.044922, 1087.890625
33.691406, -152.099609, 1083.007812
13.671875, -130.615234, 1096.679688
25.878906, -133.544922, 1082.031250
-10.498047, -144.775391, 1036.132812
-7.080078, -127.685547, 1013.671875
1.953125, -154.052734, 1093.750000
-,-,-
8.789062, -88.623047, 1041.015625
-22.216797, -91.552734, 1000.976562
-11.474609, -80.810547, 1045.898438
-32.470703, -76.904297, 980.468750
-20.263672, -71.044922, 917.968750
-16.357422, -51.513672, 892.578125
-8.544922, -16.845703, 859.375000
-10.498047, -55.419922, 912.109375
-25.146484, 1.953125, 849.609375
-10.986328, -48.583984, 944.335938
-11.962891, -32.958984, 852.539062
-23.681641, -69.091797, 957.031250
0.000000, -81.787109, 974.609375
-35.888672, -55.419922, 939.453125
-9.521484, -48.095703, 964.843750
-17.822266, -7.568359, 964.843750
-17.822266, -23.681641, 954.101562
-39.306641, 0.488281, 869.140625
-57.373047, -44.677734, 947.265625
-70.068359, -69.091797, 966.796875
-60.302734, -52.490234, 1028.320312
-95.458984, -51.513672, 1140.625000
-34.423828, -60.302734, 996.093750
-67.138672, -69.091797, 1088.867188
-24.169922, -73.974609, 1130.371094
-31.005859, -102.294922, 1134.277344
-36.865234, -96.923828, 1099.609375
-43.212891, -124.755859, 1146.484375
-17.822266, -100.341797, 1071.289062
-10.009766, -125.732422, 1096.679688
-26.611328, -135.498047, 1029.296875
-10.986328, -150.146484, 1036.132812
-27.099609, -143.798828, 997.070312
-,-,-
-16.357422, 22.949219, 886.718750
-29.052734, 59.570312, 952.148438
4.394531, 45.898438, 955.078125
14.648438, 83.007812, 924.804688
-1.220703, 36.132812, 957.031250
10.253906, 72.265625, 920.898438
16.113281, 44.433594, 904.296875
46.875000, 43.945312, 914.062500
24.414062, 43.457031, 891.601562
45.410156, 18.554688, 971.679688
47.363281, 39.062500, 923.828125
24.414062, 6.835938, 947.265625
56.152344, -32.958984, 994.140625
30.761719, -5.615234, 944.335938
35.156250, -9.521484, 923.828125
